datum;nachname;anzahl;jahr
2019-12-31;Hertzog;4;2019
2019-12-31;El Saadoun;5;2019
2020-12-31;Rovetto;5;2020
2021-12-31;Martire;6;2021
2011-12-31;Corradi;4;2011
2013-12-31;Bianchin;7;2013
2016-12-31;Guler;4;2016
2011-12-31;Wittner;9;2011
2020-12-31;Scott;21;2020
2020-12-31;Arber;23;2020
2012-12-31;Olsson;4;2012
2014-12-31;Coruk;6;2014
2022-12-31;Pérez;16;2022
2011-12-31;Da Conceiçao;4;2011
2013-12-31;Tscheulin;4;2013
2017-12-31;Nachbur;7;2017
2017-12-31;Beyene;6;2017
2016-12-31;Kern;71;2016
2013-12-31;Schilling;50;2013
2015-12-31;Vettiger;16;2015
2015-12-31;Top;6;2015
2012-12-31;Füssler;4;2012
2015-12-31;Naji;5;2015
2020-12-31;Penezic;4;2020
2021-12-31;Ademi;55;2021
2017-12-31;Botonjic;4;2017
2013-12-31;Erdin;19;2013
2018-12-31;Prontera;4;2018
2014-12-31;Thiel;20;2014
2014-12-31;Würgler;23;2014
2019-12-31;Michalcik;4;2019
2018-12-31;Bienz;16;2018
2011-12-31;Yousefi;5;2011
2016-12-31;Milovanovic;23;2016
2012-12-31;Vidulovic;5;2012
2020-12-31;Ruiz;51;2020
2012-12-31;Olloz;12;2012
2019-12-31;Safar;4;2019
2018-12-31;Sofi;5;2018
2019-12-31;Mertens;5;2019
2020-12-31;Beaud;5;2020
2019-12-31;Wampfler;4;2019
2019-12-31;Karle;9;2019
2019-12-31;Tavares;4;2019
2017-12-31;Puffert;4;2017
2020-12-31;Sengün;16;2020
2021-12-31;Dzialoszynski;9;2021
2020-12-31;Merkel;9;2020
2019-12-31;Kaupp;8;2019
2016-12-31;Pugin;4;2016
2014-12-31;Chauhan;11;2014
2017-12-31;Di Pietro;6;2017
2015-12-31;Lussi;7;2015
2013-12-31;Obrero;4;2013
2021-12-31;Hussaini;7;2021
2020-12-31;Houlaihel;6;2020
2017-12-31;Schwarz;174;2017
2016-12-31;Bitterlin;16;2016
2016-12-31;Fabbri;16;2016
2018-12-31;Schuwey;6;2018
2011-12-31;Vattakkattu;5;2011
2011-12-31;Thormann;4;2011
2021-12-31;Wicki;65;2021
2021-12-31;Chaponda;4;2021
2017-12-31;Booz;4;2017
2018-12-31;Möller;15;2018
2015-12-31;Viering;4;2015
2021-12-31;Abdi;15;2021
2020-12-31;Furter;11;2020
2011-12-31;Rüdiger;10;2011
2014-12-31;Peterson;4;2014
2020-12-31;Hornung;7;2020
2021-12-31;Unayuk;6;2021
2012-12-31;Falcone;10;2012
2012-12-31;Rodic;8;2012
2018-12-31;Uetz;6;2018
2017-12-31;Manta;8;2017
2018-12-31;Strohmeier;11;2018
2015-12-31;Menzel;8;2015
2011-12-31;Gloor;105;2011
2016-12-31;Morgado;7;2016
2016-12-31;Juhasz;8;2016
2017-12-31;Choukhmane;4;2017
2019-12-31;Szadrowsky;8;2019
2019-12-31;Ande;5;2019
2016-12-31;Eser;6;2016
2012-12-31;Falcigno;4;2012
2022-12-31;Jablonski;4;2022
2016-12-31;Schambeck;4;2016
2018-12-31;Dembinski;7;2018
2015-12-31;Kilchherr;6;2015
2017-12-31;Ximenes;6;2017
2014-12-31;Türker;4;2014
2019-12-31;Veliu;16;2019
2011-12-31;Büsch;9;2011
2015-12-31;Belafatti;10;2015
2022-12-31;Schueller;6;2022
2021-12-31;Thurneysen;22;2021
2018-12-31;Spinnler;30;2018
2017-12-31;Hintermeister;4;2017
2014-12-31;Agrawal;4;2014
2020-12-31;Stähli;36;2020
2018-12-31;Holderried;4;2018
2016-12-31;Borer;123;2016
2017-12-31;Hagist;7;2017
2013-12-31;Fazio;14;2013
2020-12-31;Ferlisi;5;2020
2016-12-31;Schlienger;19;2016
2012-12-31;Zurita;5;2012
2014-12-31;Sanneh;9;2014
2022-12-31;Obayangbon;4;2022
2012-12-31;Bärlocher;16;2012
2020-12-31;Ritschard;30;2020
2017-12-31;Giger;94;2017
2018-12-31;Kharroubi;5;2018
2015-12-31;Bassetti;4;2015
2022-12-31;Schärer;78;2022
2015-12-31;Fehr;30;2015
2013-12-31;Pavone;5;2013
2019-12-31;Ho;13;2019
2018-12-31;Spale;5;2018
2014-12-31;Xhekiqi;6;2014
2014-12-31;Paglialonga;4;2014
2011-12-31;Erbsland;6;2011
2019-12-31;Virchow;5;2019
2021-12-31;Nicola;5;2021
2022-12-31;Bouzater;5;2022
2012-12-31;Cèbis;7;2012
2013-12-31;Greber;16;2013
2011-12-31;Gombert;4;2011
2017-12-31;Aruni;11;2017
2011-12-31;Hostettler;56;2011
2018-12-31;Bächlin;19;2018
2017-12-31;Birdemir;4;2017
2017-12-31;Novakovic;16;2017
2014-12-31;Ullah;11;2014
2021-12-31;Dahlheim;5;2021
2020-12-31;Würgler;16;2020
2020-12-31;Muhmenthaler;6;2020
2016-12-31;Köroglu;4;2016
2012-12-31;Mändli;4;2012
2022-12-31;Cattola;4;2022
2013-12-31;Mujic;6;2013
2021-12-31;Schnetzer;13;2021
2021-12-31;Svensson;5;2021
2018-12-31;Lincke;4;2018
2016-12-31;Mühlberg;4;2016
2020-12-31;Spano;13;2020
2018-12-31;Lindler;4;2018
2015-12-31;Simeone;13;2015
2017-12-31;Engeli;16;2017
2020-12-31;Aponte;6;2020
2020-12-31;D'Agostino;6;2020
2019-12-31;Sali;12;2019
2016-12-31;Scossa;8;2016
2015-12-31;Brzak;4;2015
2018-12-31;Facheris;4;2018
2019-12-31;Scheller;17;2019
2017-12-31;Long;12;2017
2016-12-31;Hilbert;4;2016
2011-12-31;Ghirlanda;4;2011
2019-12-31;Weibel;63;2019
2022-12-31;Mumenthaler;28;2022
2022-12-31;Tasar;4;2022
2018-12-31;Nikic;9;2018
2017-12-31;Ludwig;39;2017
2022-12-31;Gibis;4;2022
2021-12-31;Hügin;34;2021
2014-12-31;Anic;14;2014
2011-12-31;Henkel;5;2011
2018-12-31;Pena;24;2018
2012-12-31;Piel;6;2012
2022-12-31;Gugliuzzo;7;2022
2022-12-31;Al Nader;4;2022
2019-12-31;Caprez;10;2019
2019-12-31;Zugic;4;2019
2017-12-31;Voellmy;18;2017
2019-12-31;Giarratana;8;2019
2012-12-31;Tamm;5;2012
2020-12-31;Conteh;6;2020
2018-12-31;Maragliano;4;2018
2021-12-31;Chiarello;4;2021
2018-12-31;Thiruchelvam;6;2018
2015-12-31;Vidensky;4;2015
2015-12-31;Kollmer;6;2015
2022-12-31;Zeller;62;2022
2020-12-31;Abächerli;9;2020
2018-12-31;Norris;5;2018
2018-12-31;Schöchlin;8;2018
2018-12-31;Kerestes;5;2018
2019-12-31;Papakonstantinou;4;2019
2017-12-31;Faedi;13;2017
2013-12-31;Stoecklin;25;2013
2018-12-31;Francisco;14;2018
2022-12-31;Gruic;4;2022
2020-12-31;Surdu;4;2020
2020-12-31;Märklin;4;2020
2020-12-31;Räz;4;2020
2021-12-31;Mittal;4;2021
2018-12-31;Hurter;11;2018
2019-12-31;Rosenmund;9;2019
2020-12-31;Degen;115;2020
2022-12-31;Proto;6;2022
2016-12-31;Zarola;4;2016
2016-12-31;Defuns;6;2016
2014-12-31;Pehl;4;2014
2018-12-31;Ndongo;6;2018
2013-12-31;Ziehli;4;2013
2019-12-31;Ahmels;4;2019
2021-12-31;Kleinert;5;2021
2021-12-31;Szediwy;8;2021
2013-12-31;Dössegger;5;2013
2013-12-31;Matt;22;2013
2013-12-31;Plüss;81;2013
2022-12-31;Kryeziu;65;2022
2019-12-31;Tenud;5;2019
2017-12-31;Chandler;5;2017
2022-12-31;Beshiri;4;2022
2021-12-31;Yalçin;6;2021
2021-12-31;Yalcin;17;2021
2014-12-31;Castellucci;4;2014
2022-12-31;Miglioretto;5;2022
2013-12-31;Onofri;4;2013
2021-12-31;Gutzwiller;52;2021
2018-12-31;Santos;73;2018
2014-12-31;De Araujo;5;2014
2012-12-31;De Luca;5;2012
2019-12-31;Agarwal;14;2019
2018-12-31;Hell;11;2018
2013-12-31;Lunar;4;2013
2021-12-31;Matter;47;2021
2022-12-31;Bronner;5;2022
2013-12-31;Matti;8;2013
2012-12-31;Clark;10;2012
2018-12-31;Drobnik;4;2018
2020-12-31;Braginsky;11;2020
2019-12-31;Cohen;10;2019
2017-12-31;Mordasini;4;2017
2018-12-31;Nüesch;24;2018
2014-12-31;Kavili;4;2014
2015-12-31;Kunam;4;2015
2012-12-31;Wong;12;2012
2021-12-31;Bier;4;2021
2011-12-31;Vincent;14;2011
2014-12-31;Aljimi;7;2014
2021-12-31;Willemse;4;2021
2019-12-31;Di Domenico;10;2019
2016-12-31;Singer;12;2016
2018-12-31;Zoronjic;4;2018
2017-12-31;Garessus;4;2017
2019-12-31;Hunter;15;2019
2011-12-31;Komla;4;2011
2022-12-31;Rees;6;2022
2020-12-31;Geigy;11;2020
2011-12-31;Nelböck;4;2011
2016-12-31;Cano;6;2016
2014-12-31;Resler;4;2014
2014-12-31;Wiede;4;2014
2013-12-31;Oehl;6;2013
2020-12-31;D'Onofrio;4;2020
2019-12-31;Dinter;5;2019
2017-12-31;Vasarevic;4;2017
2011-12-31;Moura;10;2011
2017-12-31;Salmanoglu;5;2017
2018-12-31;Falk;10;2018
2014-12-31;Menini;15;2014
2018-12-31;Contarino;4;2018
2013-12-31;Scheiber;4;2013
2019-12-31;Dos Anjos;5;2019
2020-12-31;Arlt;8;2020
2014-12-31;Thomi;29;2014
2020-12-31;Saydam;26;2020
2018-12-31;Bütler;20;2018
2022-12-31;Di Leonardo;5;2022
2013-12-31;Bokic;4;2013
2017-12-31;Pizzolante;4;2017
2012-12-31;Ünsür;4;2012
2013-12-31;Hetzer;4;2013
2012-12-31;Speich;11;2012
2017-12-31;Bieniossek;4;2017
2015-12-31;Jüni;4;2015
2017-12-31;Hasenböhler;10;2017
2011-12-31;Özgü;7;2011
2011-12-31;Ecker;4;2011
2013-12-31;Ande;4;2013
2021-12-31;Liva;4;2021
2021-12-31;Varela;23;2021
2016-12-31;Sadiq;7;2016
2017-12-31;Weinhardt;4;2017
2012-12-31;Knell;4;2012
2013-12-31;Bärwart;5;2013
2016-12-31;Bee;6;2016
2014-12-31;Scrivano;4;2014
2011-12-31;Tiburzi;6;2011
2015-12-31;Ziltener;30;2015
2016-12-31;Buholzer;11;2016
2012-12-31;Honold;8;2012
2015-12-31;Schambeck;4;2015
2014-12-31;Mrvelj;5;2014
2015-12-31;Ritzmann;9;2015
2015-12-31;Delwel;4;2015
2012-12-31;Vinzens;8;2012
2011-12-31;Hurter;15;2011
2013-12-31;Petkovic;18;2013
2020-12-31;Nussbaumer;68;2020
2019-12-31;Epting;14;2019
2015-12-31;Friedmann;5;2015
2011-12-31;Mory;25;2011
2019-12-31;Palanci;5;2019
2021-12-31;Gadgil;4;2021
2014-12-31;Gerspach;17;2014
2012-12-31;Kögler;4;2012
2020-12-31;Matti;5;2020
2020-12-31;Magno;9;2020
2021-12-31;Munteanu;5;2021
2012-12-31;Cvetkovic;17;2012
2015-12-31;Schwald;17;2015
2014-12-31;Oeschger;46;2014
2020-12-31;Haidari;7;2020
2014-12-31;Geiser;48;2014
2014-12-31;Sellathurai;8;2014
2012-12-31;Cohen;18;2012
2022-12-31;Solis;9;2022
2020-12-31;Bignasca;4;2020
2013-12-31;Bagiran;4;2013
2021-12-31;Schneuwly;14;2021
2016-12-31;Loeb;10;2016
2015-12-31;Fraefel;4;2015
2019-12-31;Slanicka;4;2019
2014-12-31;Ferraro;18;2014
2011-12-31;Kanagaratnam;7;2011
2021-12-31;Chen;62;2021
2018-12-31;Enz;9;2018
2015-12-31;Ilginsu;4;2015
2020-12-31;Lakic;6;2020
2019-12-31;Jungen;16;2019
2016-12-31;Pinar;8;2016
2016-12-31;El Qirinawi;12;2016
2016-12-31;Kindler;15;2016
2015-12-31;Ichtchenko;5;2015
2014-12-31;Borger;4;2014
2021-12-31;Brander;16;2021
2011-12-31;Bergling;5;2011
2016-12-31;Plattner;87;2016
2013-12-31;Purtscher;8;2013
2012-12-31;D'Agostini;4;2012
2017-12-31;Lanza;10;2017
2012-12-31;Bojic;5;2012
2021-12-31;Avdiji;4;2021
2017-12-31;Desserich;4;2017
2021-12-31;Clemens;9;2021
2013-12-31;Roda;5;2013
2019-12-31;Cordes;11;2019
2014-12-31;Szelenyi;4;2014
2012-12-31;von Rosen;4;2012
2013-12-31;Ferocino;4;2013
2017-12-31;Tabanovic;4;2017
2016-12-31;Lentz;4;2016
2014-12-31;Franck;4;2014
2022-12-31;Sütterlin;31;2022
2017-12-31;Hutmacher;9;2017
2021-12-31;Zanola;4;2021
2022-12-31;Birdemir;4;2022
2013-12-31;Guy;6;2013
2017-12-31;Pressner;6;2017
2022-12-31;Dede;10;2022
2021-12-31;Yanik;4;2021
2012-12-31;Mohler;55;2012
2014-12-31;Lovato;4;2014
2021-12-31;Bonic;10;2021
2017-12-31;Dzamic;6;2017
2014-12-31;Dessi;4;2014
2014-12-31;Gnanarangithan;4;2014
2021-12-31;Lochiger;7;2021
2011-12-31;Keller;528;2011
2013-12-31;Reif;5;2013
2019-12-31;Burk;5;2019
2021-12-31;Acinik;10;2021
2021-12-31;Harvey;5;2021
2012-12-31;Dushi;4;2012
2015-12-31;Yilmazcan;5;2015
2016-12-31;Alava;4;2016
2017-12-31;Hau;5;2017
2012-12-31;Ludwig;35;2012
2011-12-31;Ortatepe;9;2011
2018-12-31;Bläsi;6;2018
2012-12-31;Tscheulin;5;2012
2018-12-31;Kqiku;8;2018
2015-12-31;Cseh;4;2015
2019-12-31;Werk;4;2019
2015-12-31;Spampinato;6;2015
2012-12-31;Süner;9;2012
2022-12-31;Ademi;52;2022
2022-12-31;Yorulmaz;17;2022
2015-12-31;Pieren;7;2015
2014-12-31;Balosetti;4;2014
2017-12-31;Sinnathurai;18;2017
2014-12-31;Videnovic;6;2014
2017-12-31;Horny;6;2017
2021-12-31;Wiget;11;2021
2013-12-31;Da Fonseca;4;2013
2011-12-31;Häberli;24;2011
2014-12-31;Alim;7;2014
2014-12-31;Caprio;11;2014
2022-12-31;Gloor;98;2022
2013-12-31;Dellers;10;2013
2018-12-31;Valladiyil;4;2018
2017-12-31;Ruef;5;2017
2017-12-31;Ducommun;6;2017
2013-12-31;Pushparajah;4;2013
2021-12-31;Wendt;4;2021
2011-12-31;Vogelbach;5;2011
2022-12-31;Bonculescu;9;2022
2015-12-31;Quirk;5;2015
2022-12-31;Sinha;11;2022
2011-12-31;Francke;7;2011
2020-12-31;Fivaz;5;2020
2015-12-31;Berar;4;2015
2012-12-31;Atanasov;5;2012
2012-12-31;Pulver;8;2012
2021-12-31;Rauschenbach;4;2021
2017-12-31;Senkaya;5;2017
2016-12-31;Suha;7;2016
2014-12-31;Citaku;8;2014
2014-12-31;Jäckle;5;2014
2011-12-31;Nufer;4;2011
2015-12-31;Carangelo;4;2015
2021-12-31;Brodbeck;53;2021
2020-12-31;Fejzuli;35;2020
2020-12-31;Lombardo;17;2020
2016-12-31;Simic;25;2016
2018-12-31;Neri;5;2018
2020-12-31;Statovci;5;2020
2018-12-31;Grob;48;2018
2015-12-31;Kofler;11;2015
2017-12-31;Scheiwiller;6;2017
2013-12-31;Shatri;7;2013
2013-12-31;Uzun;11;2013
2014-12-31;Gottschall;6;2014
2014-12-31;Rusterholtz;5;2014
2013-12-31;Langenegger;12;2013
2021-12-31;Oeri;11;2021
2014-12-31;Fordham;4;2014
2012-12-31;Djurdjevic;11;2012
2011-12-31;Rott;6;2011
2019-12-31;Heckerl;4;2019
2017-12-31;Hueber;16;2017
2011-12-31;Merian;7;2011
2011-12-31;Spatafora;4;2011
2018-12-31;Wenk;90;2018
2017-12-31;De Maria;5;2017
2020-12-31;Navaratnam;5;2020
2016-12-31;Muhammad;10;2016
2014-12-31;Bürglin;6;2014
2014-12-31;Miribung;4;2014
2014-12-31;Hasse;6;2014
2015-12-31;Höfler;12;2015
2015-12-31;Trachsler;4;2015
2013-12-31;Zum;6;2013
2013-12-31;Upadhyay;4;2013
2020-12-31;Wernli;47;2020
2020-12-31;Archer;4;2020
2020-12-31;Cakaj;4;2020
2021-12-31;Kina;13;2021
2021-12-31;Strub;77;2021
2012-12-31;Vezaj;10;2012
2019-12-31;Kashamkattil;4;2019
2018-12-31;Bruggisser;4;2018
2014-12-31;Zenklusen;17;2014
2021-12-31;Leysieffer;4;2021
2011-12-31;Medziti;11;2011
2016-12-31;Reiwald;4;2016
2013-12-31;Brutschi;4;2013
2017-12-31;Hasimi;9;2017
2012-12-31;Lüthi;163;2012
2011-12-31;Naef;19;2011
2016-12-31;Matthisson;4;2016
2022-12-31;Gashi;192;2022
2021-12-31;Kull;17;2021
2016-12-31;Kölbing;8;2016
2016-12-31;Wipf;10;2016
2014-12-31;Tsatsaronis;5;2014
2015-12-31;Jourdan;6;2015
2019-12-31;Wacker;21;2019
2016-12-31;Ward;4;2016
2011-12-31;Campana;6;2011
2017-12-31;Pope;8;2017
2013-12-31;Quintans;4;2013
2020-12-31;Pinho;6;2020
2015-12-31;Steger;6;2015
2020-12-31;Dettwiler;61;2020
2021-12-31;Videnovic;6;2021
2019-12-31;Thanyatheeraphong;6;2019
2022-12-31;Ponacz;6;2022
2020-12-31;Battaglia;5;2020
2017-12-31;Sivaguru;5;2017
2018-12-31;Husi;32;2018
2015-12-31;Erbacher;4;2015
2012-12-31;Monfregola;6;2012
2012-12-31;Pasquier;10;2012
2020-12-31;Nicolas;6;2020
2017-12-31;Zeindler;10;2017
2015-12-31;Szczepinski;4;2015
2012-12-31;del Percio;4;2012
2017-12-31;Riepl;5;2017
2017-12-31;Schildknecht;6;2017
2015-12-31;Schenk;95;2015
2016-12-31;Cudré;6;2016
2011-12-31;Talev;7;2011
2014-12-31;Salvia;11;2014
2013-12-31;Rozek;4;2013
2021-12-31;Abgottspon;9;2021
2019-12-31;Hunzinger;5;2019
2019-12-31;Chaponda;4;2019
2013-12-31;Abdi;4;2013
2015-12-31;Schmidlin;109;2015
2014-12-31;Nitzsche;6;2014
2022-12-31;Petretta;4;2022
2017-12-31;Delfs;4;2017
2017-12-31;Hirschi;54;2017
2011-12-31;Chatton;4;2011
2012-12-31;Grose;4;2012
2015-12-31;Spreng;6;2015
2015-12-31;Vandakoon;4;2015
2016-12-31;Granito;4;2016
2012-12-31;Rössler;16;2012
2021-12-31;Felice;12;2021
2021-12-31;Babacan;4;2021
2020-12-31;Svoboda;5;2020
2020-12-31;Breitenmoser;9;2020
2021-12-31;Kelterborn;6;2021
2020-12-31;de Waard;5;2020
2014-12-31;Shi;4;2014
2017-12-31;Solbach;5;2017
2020-12-31;Gujjar;6;2020
2017-12-31;Bauen;5;2017
2020-12-31;Mujaj;8;2020
2020-12-31;Bah;14;2020
2019-12-31;Taqi;5;2019
2014-12-31;Schäuble;26;2014
2020-12-31;Albertin;8;2020
2019-12-31;Loosli;33;2019
2021-12-31;Lampart;9;2021
2016-12-31;Brogna;7;2016
2021-12-31;Reber;63;2021
2013-12-31;Hartel;5;2013
2018-12-31;Mahlstein;4;2018
2017-12-31;Pösinger;7;2017
2015-12-31;Macchi;10;2015
2022-12-31;Acar;22;2022
2022-12-31;Magri;4;2022
2016-12-31;Ham;12;2016
2015-12-31;Kammerer;5;2015
2014-12-31;Zekic;9;2014
2011-12-31;Knorpp;6;2011
2020-12-31;Eggmann;13;2020
2021-12-31;Venneri;4;2021
2018-12-31;Bolli;11;2018
2013-12-31;Zumkehr;5;2013
2020-12-31;Binkert;27;2020
2016-12-31;Dika;9;2016
2022-12-31;Edris;7;2022
2014-12-31;Fraga;6;2014
2020-12-31;Voll;6;2020
2021-12-31;Arsic;16;2021
2021-12-31;Gräzer;5;2021
2014-12-31;Kiwirra;5;2014
2019-12-31;Naaf;4;2019
2022-12-31;Lichtin;5;2022
2022-12-31;von Rotz;10;2022
2019-12-31;Mück;7;2019
2016-12-31;Herbert;5;2016
2013-12-31;Cavina;4;2013
2012-12-31;Bischof;55;2012
2019-12-31;Destanovski;4;2019
2016-12-31;Keel;7;2016
2019-12-31;Igdeli;4;2019
2018-12-31;Sernikli;7;2018
2014-12-31;Ochsner;28;2014
2020-12-31;Durand;4;2020
2015-12-31;Staechelin;5;2015
2013-12-31;Elias;7;2013
2020-12-31;Vallepulcini;4;2020
2017-12-31;Valle;4;2017
2022-12-31;Tasoev;6;2022
2011-12-31;Morris;8;2011
2019-12-31;Bächler;13;2019
2015-12-31;Fichera;4;2015
2015-12-31;Kadavil;6;2015
2012-12-31;Girard;16;2012
2011-12-31;Seferovic;4;2011
2019-12-31;Soteras;4;2019
2021-12-31;Tschachtli;15;2021
2017-12-31;Barata;4;2017
2022-12-31;Scarnicci;4;2022
2022-12-31;Turan;38;2022
2022-12-31;Wuchner;5;2022
2017-12-31;Fox;6;2017
2013-12-31;Guevara;6;2013
2022-12-31;Rao;15;2022
2021-12-31;Alba;7;2021
2017-12-31;Garudkar;4;2017
2021-12-31;Canbulat;6;2021
2019-12-31;Gebremedhin;6;2019
2016-12-31;Lei;4;2016
2017-12-31;Akkilinc;7;2017
2017-12-31;Helfenstein;10;2017
2017-12-31;Kalayci;14;2017
2013-12-31;Zandonella;4;2013
2013-12-31;Sirenio;4;2013
2020-12-31;Gräni;4;2020
2011-12-31;Grecuccio;4;2011
2015-12-31;Flubacher;20;2015
2013-12-31;Weiler;8;2013
2015-12-31;Cetin;28;2015
2016-12-31;Aliu;75;2016
2016-12-31;Cahn;4;2016
2012-12-31;Suliman;4;2012
2013-12-31;Chraïet;7;2013
2021-12-31;Bayazit;9;2021
2021-12-31;da Cruz;15;2021
2015-12-31;Azzarito;5;2015
2012-12-31;Marchand;16;2012
2012-12-31;Wössner;4;2012
2020-12-31;Sträuli;5;2020
2019-12-31;Frisina;9;2019
2014-12-31;Di Maggio;5;2014
2020-12-31;Mischke;4;2020
2015-12-31;Gülveren;4;2015
2015-12-31;Klinger;19;2015
2014-12-31;Keserovic;4;2014
2011-12-31;Borgese;4;2011
2012-12-31;de Pascale;6;2012
2012-12-31;Burkhardt;56;2012
2012-12-31;Heinrich;24;2012
2019-12-31;Alkun;4;2019
2014-12-31;Dzelili;8;2014
2016-12-31;Leal;20;2016
2018-12-31;Güneysu;6;2018
2017-12-31;Sofi;5;2017
2020-12-31;Di Maio;7;2020
2016-12-31;Masic;10;2016
2018-12-31;Pickel;4;2018
2021-12-31;Chirico;8;2021
2022-12-31;Jacob;15;2022
2019-12-31;Stojadinovic;32;2019
2019-12-31;Decrue;4;2019
2021-12-31;Marmy;5;2021
2011-12-31;Benkler;9;2011
2018-12-31;Bergling;5;2018
2016-12-31;Ancora;10;2016
2022-12-31;Brahimi;9;2022
2016-12-31;Krasic;5;2016
2018-12-31;Timmermans;11;2018
2015-12-31;Russi;4;2015
2014-12-31;Arik;4;2014
2016-12-31;Smits;4;2016
2018-12-31;Arslani;26;2018
2013-12-31;Pircher;4;2013
2020-12-31;Gschwend;20;2020
2019-12-31;Mahic;13;2019
2021-12-31;Fistarol;6;2021
2014-12-31;Derendinger;9;2014
2021-12-31;Salmi;8;2021
2021-12-31;Casper;4;2021
2012-12-31;O'Sullivan;4;2012
2021-12-31;Vyawahare;4;2021
2017-12-31;Giuliano;7;2017
2022-12-31;Wendelspiess;5;2022
2013-12-31;Zulfiovski;8;2013
2021-12-31;Ejder;4;2021
2019-12-31;Boucetta;4;2019
2016-12-31;Morina;26;2016
2016-12-31;Plavsic;4;2016
2022-12-31;Pineda;6;2022
2014-12-31;Barros;13;2014
2012-12-31;Blanc;13;2012
2022-12-31;Trovato;12;2022
2014-12-31;Cancilla;4;2014
2015-12-31;Emery;6;2015
2022-12-31;Uysal;6;2022
2013-12-31;Oestreicher;6;2013
2014-12-31;Hayoz;9;2014
2022-12-31;Gattlen;10;2022
2022-12-31;Erol;4;2022
2015-12-31;Strohbach;7;2015
2016-12-31;Cecilio;5;2016
2012-12-31;Lenhard;4;2012
2013-12-31;Tenger;9;2013
2019-12-31;Hellmich;4;2019
2018-12-31;Dittli;4;2018
2015-12-31;Curia;5;2015
2016-12-31;Imir;4;2016
2016-12-31;Weil;9;2016
2018-12-31;Ehrhart;8;2018
2014-12-31;Münster;6;2014
2022-12-31;Alija;10;2022
2022-12-31;Ruggiero;4;2022
2020-12-31;Belinovich;7;2020
2018-12-31;Kober;6;2018
2016-12-31;Rizzelli;6;2016
2018-12-31;Majic;9;2018
2014-12-31;Rothenhäusler;4;2014
2011-12-31;Muangpradab;4;2011
2022-12-31;Köppel;7;2022
2022-12-31;Häsch;4;2022
2012-12-31;Köz;5;2012
2011-12-31;Brandes;8;2011
2018-12-31;Bätscher;15;2018
2017-12-31;Ivakovic;4;2017
2017-12-31;Bachtiar;5;2017
2016-12-31;Gebreab;4;2016
2021-12-31;Dosa;4;2021
2016-12-31;Grimm;59;2016
2013-12-31;Bruzzese;4;2013
2013-12-31;Zumbrunn;16;2013
2022-12-31;Micchetti;4;2022
2014-12-31;Minder;65;2014
2013-12-31;Wilke;6;2013
2012-12-31;Gaspoz;6;2012
2021-12-31;Schäfert;5;2021
2019-12-31;Schürmann;43;2019
2016-12-31;Mac Cabe;4;2016
2021-12-31;Selimovic;6;2021
2015-12-31;Drews;9;2015
2020-12-31;Sentürk;27;2020
2021-12-31;Bianchin;8;2021
2019-12-31;Scotto;6;2019
2019-12-31;Sertolli;6;2019
2020-12-31;Darms;6;2020
2021-12-31;Mehler;7;2021
2016-12-31;Schönmann;16;2016
2014-12-31;La;56;2014
2012-12-31;Zogg;14;2012
2018-12-31;Palermo;10;2018
2021-12-31;Selhausen;4;2021
2017-12-31;Lux;6;2017
2015-12-31;Maeder;9;2015
2019-12-31;Lüthi;142;2019
2018-12-31;Xu;12;2018
2013-12-31;Tricase;6;2013
2014-12-31;Litwan;6;2014
2020-12-31;Maltese;9;2020
2021-12-31;Zorzetti;6;2021
2016-12-31;Quaresma;4;2016
2011-12-31;Volken;9;2011
2017-12-31;Bosl;6;2017
2013-12-31;Carneiro;12;2013
2019-12-31;Fidan;19;2019
2011-12-31;Scheuble;4;2011
2015-12-31;Gueissaz;4;2015
2021-12-31;Dzidic;6;2021
2017-12-31;Holbro;7;2017
2012-12-31;Marjanovic;31;2012
2020-12-31;Mattmüller;30;2020
2022-12-31;Kovaci;19;2022
2019-12-31;Fener;6;2019
2014-12-31;Akcakoca;5;2014
2019-12-31;Kansy;4;2019
2014-12-31;Neubauer;10;2014
2011-12-31;Sapsaglam;4;2011
2013-12-31;Bardelli;7;2013
2019-12-31;Weizenegger;4;2019
2014-12-31;Wiss;9;2014
2011-12-31;Gea;4;2011
2021-12-31;Schwyter;7;2021
2014-12-31;Nikolov;4;2014
2012-12-31;Mazrekaj;4;2012
2021-12-31;Jacob;15;2021
2020-12-31;Cipolla;5;2020
2017-12-31;Sammarruco;4;2017
2019-12-31;Baygin;10;2019
2018-12-31;Oberhänsli;5;2018
2011-12-31;Frischknecht;30;2011
2013-12-31;Scopelliti;15;2013
2021-12-31;Salomon;8;2021
2019-12-31;Favri;4;2019
2021-12-31;Gürbüz;6;2021
2021-12-31;Iljazi;5;2021
2017-12-31;Seghezzo;4;2017
2019-12-31;Stanischewski;4;2019
2019-12-31;Diliberto;5;2019
2017-12-31;Akyüz;17;2017
2012-12-31;Vokraj;11;2012
2013-12-31;Kirlitas;7;2013
2012-12-31;Bahr;4;2012
2016-12-31;Bieri;84;2016
2017-12-31;Eldred;6;2017
2022-12-31;Matiz;6;2022
2017-12-31;Matthisson;4;2017
2011-12-31;Canova;12;2011
2019-12-31;Rose;10;2019
2019-12-31;Joos;38;2019
2014-12-31;Krämer;17;2014
2016-12-31;Akbas;6;2016
2017-12-31;Alba;6;2017
2013-12-31;Dimitriou;5;2013
2013-12-31;Potthoff;4;2013
